Model Id,problem_type,data_type,data_sample,user_type,param_index,accuracy,recall,precision,specificity,npv,f1,RMSE,r2
1,reg,fitbit,up,new,0,0.91202346,0,0,1,0.91202346,0,2.156036035,-0.034154861
2,reg,fitbit,up,cur,0,0.850666667,0,0,1,0.850666667,0,2.597514284,0.027239534
3,reg,fitbit,weight,new,0,0.91202346,0,0,1,0.91202346,0,2.156036035,-0.034154861
4,reg,fitbit,weight,cur,0,0.850666667,0,0,1,0.850666667,0,2.597514284,0.027239534
5,reg,fitbit,smote,new,0,0.91202346,0,0,1,0.91202346,0,2.156036035,-0.034154861
6,reg,fitbit,smote,cur,0,0.850666667,0,0,1,0.850666667,0,2.597514284,0.027239534
7,reg,fitbit,no,new,0,0.91202346,0,0,1,0.91202346,0,2.156036035,-0.034154861
8,reg,fitbit,no,cur,0,0.850666667,0,0,1,0.850666667,0,2.597514284,0.027239534
9,cls,fitbit,smote,new,0,0.526392962,0.418831169,0.215432046,0.557765152,0.766909417,0.283116968,0,0
10,cls,fitbit,smote,cur,0,0.6,0.54950495,0.34698906,0.618613139,0.788351703,0.42531659,0,0
11,cls,fitbit,no,new,0,0.718475073,0.068181818,0.18344548,0.908143939,0.769507228,0.094060579,0,0
12,cls,fitbit,no,cur,0,0.692,0.066831683,0.288248674,0.922445255,0.728266112,0.102631933,0,0
13,cls,fitbit,up,new,0,0.574780059,0.392857143,0.234371589,0.627840909,0.780379841,0.293255814,0,0
14,cls,fitbit,up,cur,0,0.594666667,0.420792079,0.314819692,0.658759124,0.754946258,0.358466786,0,0
15,cls,fitbit,weight,new,0,0.552052786,0.418831169,0.228186056,0.590909091,0.777842627,0.294543742,0,0
16,cls,fitbit,weight,cur,0,0.595333333,0.50990099,0.335643418,0.626824818,0.77638385,0.403999694,0,0
17,cls,all,smote,new,0,0.409090909,0.87012987,0.260360707,0.274621212,0.8999753,0.399393035,0,0
18,cls,all,smote,cur,0,0.465333333,0.948019802,0.329556162,0.287408759,0.937145708,0.488918031,0,0
19,cls,all,no,new,0,0.662756598,0.383116883,0.29817877,0.744318182,0.806839827,0.332553529,0,0
20,cls,all,no,cur,0,0.714,0.628712871,0.476559099,0.745437956,0.84519893,0.54172282,0,0
21,cls,all,up,new,0,0.359237537,0.892857143,0.248182871,0.203598485,0.863051466,0.387493773,0,0
22,cls,all,up,cur,0,0.382666667,0.940594059,0.29642044,0.177007299,0.899584076,0.450622654,0,0
23,cls,all,weight,new,0,0.673020528,0.392857143,0.316721003,0.754734848,0.810655306,0.348477492,0,0
24,cls,all,weight,cur,0,0.718,0.626237624,0.481735474,0.751824818,0.845353367,0.544310797,0,0
25,reg,all,smote,new,0,0.91202346,0,0,1,0.91202346,0,2.044907761,0.019148444
26,reg,all,smote,cur,0,0.850666667,0,0,1,0.850666667,0,2.330054471,0.127402344
27,reg,all,no,new,0,0.91202346,0,0,1,0.91202346,0,2.044907761,0.019148444
28,reg,all,no,cur,0,0.850666667,0,0,1,0.850666667,0,2.330054471,0.127402344
29,reg,all,up,new,0,0.91202346,0,0,1,0.91202346,0,2.044907761,0.019148444
30,reg,all,up,cur,0,0.850666667,0,0,1,0.850666667,0,2.330054471,0.127402344
31,reg,all,weight,new,0,0.91202346,0,0,1,0.91202346,0,2.044907761,0.019148444
32,reg,all,weight,cur,0,0.850666667,0,0,1,0.850666667,0,2.330054471,0.127402344
