model_id,problem_type,data_type,data_sample,user_type,param_index,accuracy,recall,precision,specificity,npv,f1,RMSE,r2
1,reg,all,smote,new,0,0.5067934782608696,0.4548780487804879,0.5732079119690651,0.5720858895705521,0.4553042551719335,0.49944741717185137,1.188509382045254,-0.38205985628351163
2,reg,all,smote,cur,0,0.5226666666666666,0.5168918918918919,0.6153353445581936,0.5310457516339869,0.4310076759300762,0.5617508405370626,1.2933993517285556,-0.3519940389605925
3,reg,all,no,new,0,0.5067934782608696,0.4548780487804879,0.5732079119690651,0.5720858895705521,0.4553042551719335,0.49944741717185137,1.188509382045254,-0.38205985628351163
4,reg,all,no,cur,0,0.5226666666666666,0.5168918918918919,0.6153353445581936,0.5310457516339869,0.4310076759300762,0.5617508405370626,1.2933993517285556,-0.3519940389605925
5,reg,all,up,new,0,0.5067934782608696,0.4548780487804879,0.5732079119690651,0.5720858895705521,0.4553042551719335,0.49944741717185137,1.188509382045254,-0.38205985628351163
6,reg,all,up,cur,0,0.5226666666666666,0.5168918918918919,0.6153353445581936,0.5310457516339869,0.4310076759300762,0.5617508405370626,1.2933993517285556,-0.3519940389605925
7,reg,all,weight,new,0,0.5067934782608696,0.4548780487804879,0.5732079119690651,0.5720858895705521,0.4553042551719335,0.49944741717185137,1.188509382045254,-0.38205985628351163
8,reg,all,weight,cur,0,0.5226666666666666,0.5168918918918919,0.6153353445581936,0.5310457516339869,0.4310076759300762,0.5617508405370626,1.2933993517285556,-0.3519940389605925
9,reg,fitbit,smote,new,0,0.5366847826086957,0.6426829268292682,0.5756136148549,0.40337423312883436,0.4766112970171083,0.601887443806543,1.2812303697819178,-0.48988059116511445
10,reg,fitbit,smote,cur,0,0.5373333333333333,0.5777027027027026,0.6165576858920047,0.47875816993464054,0.43868306456942496,0.5964589157592004,1.4700875113637486,-0.5366866772106791
11,reg,fitbit,no,new,0,0.5366847826086957,0.6426829268292682,0.5756136148549,0.40337423312883436,0.4766112970171083,0.601887443806543,1.2812303697819178,-0.48988059116511445
12,reg,fitbit,no,cur,0,0.5373333333333333,0.5777027027027026,0.6165576858920047,0.47875816993464054,0.43868306456942496,0.5964589157592004,1.4700875113637486,-0.5366866772106791
13,reg,fitbit,up,new,0,0.5366847826086957,0.6426829268292682,0.5756136148549,0.40337423312883436,0.4766112970171083,0.601887443806543,1.2812303697819178,-0.48988059116511445
14,reg,fitbit,up,cur,0,0.5373333333333333,0.5777027027027026,0.6165576858920047,0.47875816993464054,0.43868306456942496,0.5964589157592004,1.4700875113637486,-0.5366866772106791
15,reg,fitbit,weight,new,0,0.5366847826086957,0.6426829268292682,0.5756136148549,0.40337423312883436,0.4766112970171083,0.601887443806543,1.2812303697819178,-0.48988059116511445
16,reg,fitbit,weight,cur,0,0.5373333333333333,0.5777027027027026,0.6165576858920047,0.47875816993464054,0.43868306456942496,0.5964589157592004,1.4700875113637486,-0.5366866772106791
17,cls,all,smote,new,0,0.47690217391304346,0.4682926829268293,0.5331505046847792,0.4877300613496932,0.421918416593684,0.496356303456707,0.0,0.0
18,cls,all,smote,cur,0,0.5206666666666667,0.5394144144144144,0.6060081982600473,0.4934640522875817,0.42622956092540176,0.5700069910797081,0.0,0.0
19,cls,all,no,new,0,0.5489130434782609,0.9585365853658536,0.5550691846812044,0.03374233128834356,0.326417004048583,0.7027478524637862,0.0,0.0
20,cls,all,no,cur,0,0.566,0.8772522522522522,0.5899387393586931,0.11437908496732026,0.3757900757900758,0.705207598553743,0.0,0.0
21,cls,all,up,new,0,0.4789402173913044,0.36585365853658536,0.5453811856450475,0.6211656441717792,0.43882720861585345,0.4364952349177051,0.0,0.0
22,cls,all,up,cur,0,0.4813333333333334,0.41554054054054057,0.5875933641268728,0.576797385620915,0.40480904800822926,0.4867809082770334,0.0,0.0
23,cls,all,weight,new,0,0.49592391304347827,0.5439024390243903,0.5484460168006196,0.43558282208588955,0.43080701934435756,0.5455704813452685,0.0,0.0
24,cls,all,weight,cur,0,0.5173333333333334,0.543918918918919,0.6016342241500383,0.4787581699346406,0.4206540038760183,0.5706723552067166,0.0,0.0
25,cls,fitbit,smote,new,0,0.4694293478260869,0.3207317073170732,0.5409637043407507,0.656441717791411,0.4341441586907961,0.4014355291116213,0.0,0.0
26,cls,fitbit,smote,cur,0,0.5013333333333333,0.3626126126126126,0.6387511449265322,0.7026143790849673,0.4317816354305344,0.46249666816875856,0.0,0.0
27,cls,fitbit,no,new,0,0.5230978260869565,0.6987804878048781,0.5576746972395306,0.30214723926380366,0.44192785075763796,0.6171362052545877,0.0,0.0
28,cls,fitbit,no,cur,0,0.5133333333333333,0.6103603603603603,0.5850639824609339,0.37254901960784315,0.398185590361815,0.5955987625831214,0.0,0.0
29,cls,fitbit,up,new,0,0.468070652173913,0.2926829268292683,0.542107950692209,0.6886503067484663,0.4362778691896339,0.379934398834322,0.0,0.0
30,cls,fitbit,up,cur,0,0.45133333333333336,0.29842342342342343,0.568362757657016,0.673202614379085,0.3983173094826774,0.39092691649176214,0.0,0.0
31,cls,fitbit,weight,new,0,0.49116847826086957,0.4792682926829268,0.5504590774282025,0.5061349693251533,0.4349758843227043,0.5114295521737326,0.0,0.0
32,cls,fitbit,weight,cur,0,0.5213333333333333,0.5630630630630631,0.6029040832344181,0.4607843137254902,0.42018961075222416,0.5816011807954936,0.0,0.0
